#{"t_start": 1731416469.2304418, "env_id": "None"}
r,l,t
0.021963,1001,9.468544
0.017384,1001,16.559853
0.025501,281,18.674421
0.009576,82,19.759188
0.038394,273,22.076468
0.026683,122,23.305783
0.06006,1001,31.017868
0.002983,1001,38.38276
0.040774,1001,44.049429
0.030682,115,46.136706
0.023247,606,51.024759
0.021703,1001,60.381076
0.029906,1001,65.480684
0.00594,866,71.136632
0.003939,885,82.606567
0.005123,457,94.203562
0.002252,1001,119.437117
0.012241,145,124.359247
0.018076,164,129.069146
0.024734,1001,157.609917
0.009873,762,177.273875
0.0,100,180.429468
0.0,570,193.442314
0.007367,1001,218.685817
0.02977,1001,240.031728
0.000403,212,245.002198
0.016194,457,255.270688
0.00779,42,256.705654
0.0,484,267.444192
0.001558,1001,288.739245
0.0,318,295.668733
0.000845,411,304.856247
0.017774,1001,327.520038
0.008629,205,332.736207
0.002658,246,339.131534
0.0,320,346.825732
0.003969,170,350.967366
0.0,90,353.316721
0.002871,821,382.196793
0.009843,350,405.592377
0.002856,702,430.569717
0.014127,217,435.991774
0.008889,163,440.403719
0.007478,365,449.402585
0.025694,93,452.56409
0.005385,366,464.207964
0.016597,350,487.380086
0.0,360,511.35036
0.005496,219,526.902548
0.001087,553,562.438729
0.008446,166,574.10334
0.044781,691,618.503443
0.023561,1001,682.066787
0.010273,307,702.368105
0.005232,290,721.536134
0.012373,452,751.095573
0.008674,280,769.960907
0.004392,338,792.193563
0.002405,142,802.617892
0.005975,635,843.549134
0.021946,1001,906.628685
0.001573,180,919.545041
0.01562,1001,982.905993
0.04259,325,1004.24278
0.011573,1001,1067.467054
0.013904,1001,1130.921638
0.003329,1001,1194.39426
0.017,702,1238.979584
0.002109,312,1259.803183
0.008665,114,1268.237158
0.005893,251,1285.039814
0.005508,611,1323.600342
0.013429,480,1354.573436
0.00463,105,1362.650203
0.023568,56,1367.737011
0.029059,230,1383.698372
0.037731,267,1401.580544
0.075926,243,1417.909609
0.017201,452,1447.234426
0.048215,1001,1509.980423
0.015953,287,1529.533015
0.348534,61,1535.203619
0.025817,1001,1597.483417
0.008572,109,1605.850873
0.02231,454,1635.721827
0.014872,82,1642.257147
0.003012,57,1647.250329
0.02484,614,1686.092476
0.007047,50,1690.663826
0.007587,203,1705.083773
0.025359,109,1713.43992
0.039151,604,1751.534791
0.015901,130,1760.960372
0.021331,111,1769.590609
0.039505,170,1781.655523
0.01881,190,1794.875135
0.007722,715,1840.844278
0.010727,136,1850.776094
0.006946,97,1858.261785
0.06969,110,1866.569543
0.001078,255,1883.859694
0.007167,116,1892.620103
0.014093,244,1909.420907
0.227988,270,1928.057636
0.003435,110,1936.482537
0.004857,330,1958.193611
0.0,232,1974.155872
0.006577,174,1986.430945
0.012305,283,2005.280042
0.0,89,2012.245342
0.009388,261,2030.066309
0.003379,37,2033.931284
0.004269,78,2040.329694
0.001857,420,2067.208746
0.0,107,2075.358265
0.007729,273,2093.895127
0.003094,82,2100.436478
0.019041,120,2109.496285
0.035433,1001,2173.23314
0.001467,203,2187.173966
0.013869,142,2197.600529
0.004573,247,2214.40549
0.016133,102,2222.767375
0.007482,794,2244.946942
0.005362,176,2252.370275
0.019524,68,2258.4471
0.004172,140,2267.710987
0.004596,143,2271.369261
0.004229,293,2277.922325
0.011673,65,2279.81725
0.0056,138,2284.168336
0.001353,672,2307.958137
0.0,653,2350.141397
0.02334,100,2358.375127
0.014797,229,2374.215082
0.01014,250,2390.903894
0.023404,162,2402.406745
0.016199,154,2413.227257
0.013662,61,2418.705263
0.006573,216,2433.335865
0.013789,162,2445.07313
0.006061,213,2459.986669
0.027922,434,2488.825661
0.068246,1001,2525.870858
0.006193,209,2540.300169
0.032357,373,2554.748945
0.007949,258,2561.184983
0.013607,640,2587.382948
0.0,617,2606.81659
0.007007,124,2609.963832
0.000877,91,2612.366668
0.01171,129,2615.639268
0.002396,301,2622.849386
0.013596,508,2633.960378
0.018698,69,2635.925236
0.014637,177,2640.69576
0.012162,188,2645.403456
0.008044,419,2658.358976
0.040718,64,2663.875963
0.017418,871,2719.590327
0.00905,82,2725.417134
0.012561,287,2735.333156
0.013485,333,2757.768791
0.021274,168,2762.155665
0.019025,89,2764.677395
0.007246,160,2769.02269
0.006757,79,2771.308918
0.003475,99,2773.874353
0.004753,259,2780.069075
0.021588,63,2781.852198
0.016996,235,2787.235433
0.00313,171,2791.972857
0.027288,445,2808.600779
0.023045,127,2818.358425
0.00474,160,2829.730977
0.013786,545,2864.691771
0.008465,130,2874.056857
